Latitude,Longitude,Comentários
-23.2292393,-45.9036805,25/04/2016 a tarde
-23.2292393,-45.9036805,25/04/2016 a tarde
-23.2292393,-45.9036805,25/04/2016 a tarde
-23.2292393,-45.9036805,25/04/2016 a tarde
-23.196143,-45.89212570000001,25/04/2016 a noite
-23.196143,-45.89212570000001,25/04/2016 a noite
-23.2611334,-45.9002493,16/04/2016 de madrugada
-23.2810063,-45.901287,18/04/2016 de madrugada
-23.2592023,-45.8974091,18/04/2016 pela manhã
-23.2592023,-45.8974091,18/04/2016 pela manhã
-23.2527493,-45.9251332,18/04/2016 pela manhã
-23.1806179,-45.8512336,28/04/2016 a noite
-23.2832541,-45.8979952,19/04/2016 de madrugada
-23.1940257,-45.867951,19/04/2016 a noite
-23.2548838,-45.9246322,20/04/2016 pela manhã
-23.2577107,-45.9105968,20/04/2016 a tarde
-23.2566543,-45.92670649999999,20/04/2016 a noite
-23.1778629,-45.8898299,30/04/2016 a noite
-23.2544508,-45.895414,21/04/2016 a noite
-23.2509599,-45.9093896,22/04/2016 de madrugada
-23.246197,-45.8921802,22/04/2016 de madrugada
-23.2633552,-45.912231,23/04/2016 a tarde
-23.1768898,-45.7975046,25/04/2016 a noite
-23.230817,-45.8802108,25/04/2016 a noite
-23.230817,-45.8802108,25/04/2016 a noite
-23.2516104,-45.9265413,26/04/2016 pela manhã
-23.2507077,-45.92327299999999,29/04/2016 pela manhã
-23.254999,-45.9087121,29/04/2016 pela manhã
-23.1541674,-45.7897214,02/04/2016 de madrugada
-23.1541674,-45.7897214,02/04/2016 de madrugada
-22.5148386,-44.7015422,06/04/2016 a noite
-23.3081214,-46.0558031,09/04/2016 pela manhã
-23.3081214,-46.0558031,09/04/2016 pela manhã
-23.3081214,-46.0558031,09/04/2016 pela manhã
-22.9427384,-45.4157011,20/04/2016 a tarde
-22.9427384,-45.4157011,20/04/2016 a tarde
-23.2164167,-45.8488479,05/04/2016 a noite
-23.0352573,-45.5781809,07/04/2016 de madrugada
-23.2933592,-45.987886,16/05/2016 a noite
