Latitude,Longitude,Comentários
-23.6213398,-45.4098861,12/01/2016 pela manhã
-23.2746961,-45.94919729999999,27/01/2016 a noite
-23.2497802,-45.9109894,13/01/2016 a tarde
-23.6289744,-45.4186997,12/01/2016 a tarde
-23.179214,-45.8882167,16/01/2016 a tarde
-23.2863635,-45.9794244,16/01/2016 em hora incerta
-23.3039692,-45.9660107,29/01/2016 a noite
-23.024586,-45.5267075,18/01/2016 pela manhã
-23.1020476,-45.68324639999999,27/01/2016 de madrugada
-23.3045756,-45.96970839999999,30/01/2016 pela manhã
-23.1977901,-45.8806279,17/01/2016 a noite
18.9664111,-97.8920849,14/01/2016 pela manhã
-23.3152807,-45.9358023,30/01/2016 a tarde
-23.2024992,-45.882107,17/01/2016 a noite
-23.0398158,-45.6311842,19/01/2016 a noite
-23.0072562,-45.5314657,21/01/2016 a noite
-23.2016975,-45.8823218,18/01/2016 a tarde
-23.1975993,-45.88471879999999,19/01/2016 a noite
-23.1746801,-45.8833904,19/01/2016 pela manhã
-23.2296614,-45.89128400000001,16/01/2016 de madrugada
-23.4336578,-45.0838481,10/01/2016 a noite
-23.2582768,-45.9154677,16/01/2016 pela manhã
-23.2601224,-45.898901,16/01/2016 a noite
-23.2165047,-45.89590219999999,16/01/2016 a noite
-23.2024992,-45.882107,20/01/2016 a noite
-23.2462497,-45.9004559,17/01/2016 pela manhã
-23.2438397,-45.9043045,17/01/2016 pela manhã
-23.2662423,-45.8858876,17/01/2016 a noite
-23.0301473,-45.5723521,23/01/2016 a tarde
-23.030644,-45.5730447,23/01/2016 a tarde
-23.2511721,-45.9086159,17/01/2016 de madrugada
-23.2402973,-45.9070414,17/01/2016 a tarde
-23.203446,-45.901639,20/01/2016 a noite
-23.6397457,-45.4328481,16/01/2016 de madrugada
-23.2402973,-45.9070414,17/01/2016 a tarde
-23.2049854,-45.8949401,20/01/2016 a noite
-23.2402973,-45.9070414,17/01/2016 a tarde
-23.2402973,-45.9070414,17/01/2016 a tarde
-23.0643935,-45.57349800000001,24/01/2016 a noite
-23.0335915,-45.6195681,24/01/2016 pela manhã
-23.1001287,-45.6968289,04/01/2016 em hora incerta
-23.6790699,-45.4332077,17/01/2016 de madrugada
-23.6233048,-45.4126415,17/01/2016 a noite
-23.1844572,-45.8880285,22/01/2016 a tarde
-23.5947134,-45.3400082,18/01/2016 a noite
-23.2165047,-45.89590219999999,22/01/2016 a tarde
-23.0119042,-45.5383286,25/01/2016 a tarde
-23.0296861,-45.5758584,25/01/2016 a tarde
-23.2171529,-45.8886868,24/01/2016 a noite
-23.2873397,-45.8927215,20/01/2016 de madrugada
-23.2127881,-45.884834,20/01/2016 pela manhã
-23.0303722,-45.6127098,28/01/2016 de madrugada
-23.1925403,-45.8768689,24/01/2016 pela manhã
-23.0249648,-45.5259218,29/01/2016 a noite
-23.2496228,-45.89213609999999,20/01/2016 a tarde
-23.2127881,-45.884834,21/01/2016 pela manhã
-23.3146809,-45.9402025,21/01/2016 de madrugada
-23.2311717,-45.9050182,21/01/2016 pela manhã
-23.0304244,-45.6130364,30/01/2016 de madrugada
-23.2605481,-45.9133179,21/01/2016 pela manhã
-23.0250925,-45.5508017,30/01/2016 pela manhã
-23.0204109,-45.5487949,30/01/2016 a tarde
-23.0397911,-45.5645143,30/01/2016 a noite
-23.2530767,-45.88518939999999,21/01/2016 a tarde
-23.6200178,-45.4171168,21/01/2016 em hora incerta
-23.229365,-45.903883,22/01/2016 de madrugada
